date,allreg,active,new,income,npay,arpupay,arpuact, payinfilt ,cost,pcu,acu,left1,left3,left7,aol,y
2015/1/1,268697419,13053642,188053,1490428,52705,28.28,0.11,0.004,1596904,857216,442651,0.4735,0.3601,0.27,48.33,882486
2015/1/2,268877703,13053285,180284,1521818,54058,28.15,0.12,0.0041,1652331,882486,466758,0.4055,0.3221,0.2642,50.81,938950
2015/1/3,269033350,13078967,155647,1576195,55428,28.44,0.12,0.0042,1691124,938950,471478,0.4229,0.346,0.2562,51.24,970543
2015/1/4,269168824,13127856,135474,1507341,54325,27.75,0.11,0.0041,1630864,970543,487281,0.4577,0.3724,0.2835,52.88,932529
2015/1/5,269307035,13228009,138211,1578169,57236,27.57,0.12,0.0043,1682900,932529,488321,0.4472,0.3601,0.2765,52.77,923454
2015/1/6,269452951,13181538,145916,1902308,62128,30.62,0.14,0.0047,2029808,923454,487898,0.4477,0.3642,0.2654,52.82,910982
2015/1/7,269600052,13219957,147101,1682894,58002,29.01,0.13,0.0044,1821366,910982,483400,0.4672,0.3779,0.2854,52.1,904689
2015/1/8,269769116,13281341,169064,1605254,56710,28.31,0.12,0.0043,1722252,904689,406576,0.4877,0.3544,0.2835,50.99,848063
2015/1/9,269957392,13357849,188276,1599688,56264,28.43,0.12,0.0042,1677499,848063,470460,0.4084,0.3954,0.3084,50.14,849740
2015/1/10,270132749,13207790,175357,1607337,56703,28.35,0.12,0.0043,1693991,849740,468070,0.463,0.34,0.2555,50.47,898267
2015/1/11,270313431,13492152,180682,1737634,62027,28.01,0.13,0.0046,1849412,898267,489338,0.4259,0.3172,0.2443,51.61,921199
2015/1/12,270480340,13356903,166909,1616690,58208,27.77,0.12,0.0044,1727553,921199,486505,0.441,0.4198,0.3657,51.41,919288
2015/1/13,270634464,13291225,154124,1516039,55457,27.34,0.11,0.0042,1608940,919288,493326,0.458,0.3513,0.2606,52.53,903624
2015/1/14,270778984,13253977,144520,1428359,50799,28.12,0.11,0.0038,1528150,903624,480914,0.4583,0.3762,0.287,50.85,900080
2015/1/15,270940354,13168896,161370,1419219,50464,28.12,0.11,0.0038,1511167,900080,473358,0.5093,0.4589,0.32,50.95,850135
2015/1/16,271104185,13189989,163831,1418182,50585,28.04,0.11,0.0038,1487430,850135,463930,0.5115,0.3966,0.3363,49.85,864374
2015/1/17,271254890,13237354,150705,1462109,51981,28.13,0.11,0.0039,1565548,864374,460070,0.4446,0.328,0.2598,49.4,901319
2015/1/18,271413123,13482602,158233,1540222,56251,27.38,0.11,0.0042,1652558,901319,477710,0.4152,0.339,0.2745,50.24,917759
2015/1/19,271540872,13249817,127749,1446969,53292,27.15,0.11,0.004,1543326,917759,467906,0.4709,0.382,0.292,50.03,907087
2015/1/20,271696991,13347101,156119,1483638,53486,27.74,0.11,0.004,1586030,907087,472431,0.5092,0.3223,0.248,50.46,904532
2015/1/21,271852036,13403158,155045,1480310,53262,27.79,0.11,0.004,1574561,904532,472984,0.4519,0.3491,0.2916,50.18,926108
2015/1/22,272012911,13347949,160875,1483007,54396,27.26,0.11,0.0041,1569583,926108,474730,0.4735,0.3702,0.2793,50.82,852655
2015/1/23,272169316,13222736,156405,1681000,59130,28.43,0.13,0.0045,1735661,852655,474877,0.4571,0.3636,0.2706,50.98,863999
2015/1/24,272337775,13393679,168459,1587638,55501,28.61,0.12,0.0041,1727519,863999,478176,0.4545,0.3481,0.2533,50.69,909542
2015/1/25,272686223,13794324,348448,1539386,60939,25.26,0.11,0.0044,1752656,909542,502734,0.7295,0.6836,0.1176,51.64,881956
2015/1/26,272844076,13601854,157853,1417545,50072,28.31,0.1,0.0037,1496050,881956,466371,0.4848,0.4103,0.2935,49.05,887877
2015/1/27,273019777,13626578,175701,1414989,49118,28.81,0.1,0.0036,1501108,887877,467576,0.3785,0.3149,0.2232,49.01,864536
2015/1/28,273167610,13433114,147833,1367679,48036,28.47,0.1,0.0036,1443986,864536,463002,0.4688,0.3778,0.269,49.15,855487
2015/1/29,273327413,13314928,159803,1354536,47861,28.3,0.1,0.0036,1433041,855487,457644,0.4729,0.3275,0.2441,49.12,846879
2015/1/30,273473431,13131496,146018,1303453,46296,28.15,0.1,0.0035,1370696,846879,446928,0.4502,0.361,0.2638,48.6,850214
2015/1/31,273666984,13158337,193553,1332334,46945,28.38,0.1,0.0036,1383147,850214,439731,0.3619,0.2788,0.2081,47.67,875442
2015/2/1,273830899,13297040,163915,1453595,52350,27.77,0.11,0.0039,1527417,875442,454200,0.4243,0.3607,0.258,48.58,862683
2015/2/2,273979631,13152212,148732,1390519,50172,27.72,0.11,0.0038,1469851,862683,457932,0.4447,0.3591,0.2614,49.69,832073
2015/2/3,274130057,13110027,150426,1345736,49104,27.41,0.1,0.0037,1421143,832073,442706,0.4499,0.3537,0.2612,48.16,818474
2015/2/4,274282951,13080416,152894,1278051,45167,28.3,0.1,0.0035,1359717,818474,438429,0.4755,0.3465,0.2488,47.75,819313
2015/2/5,274436026,12996177,153075,1264884,46301,27.32,0.1,0.0036,1337243,819313,434664,0.4498,0.358,0.2592,47.62,789943
2015/2/6,274603446,12941159,167420,1266591,46012,27.53,0.1,0.0036,1324552,789943,432990,0.4608,0.3634,0.264,47.61,796347
2015/2/7,274781756,12989329,178310,1311250,47592,27.55,0.1,0.0037,1371913,796347,436139,0.4501,0.3508,0.2499,47.83,809970
2015/2/8,274992349,13130190,210593,1376351,50182,27.43,0.1,0.0038,1464743,809970,443839,0.4492,0.3508,0.2485,48.07,796260
2015/2/9,275275320,13129232,282971,1293977,47215,27.41,0.1,0.0036,1350394,796260,426008,0.2985,0.3161,0.1675,46.22,793811
2015/2/10,275485082,12980596,209762,1315464,46328,28.39,0.1,0.0036,1388900,793811,427495,0.3721,0.2913,0.1977,45.7,836683
2015/2/11,275666973,13203251,181891,1522801,47624,31.98,0.12,0.0036,1599042,836683,431525,0.4337,0.3343,0.2257,46.42,799894
2015/2/12,275842791,13298991,175818,1845751,49533,37.26,0.14,0.0037,1926827,799894,442079,0.4289,0.325,0.2144,47.27,806569
2015/2/13,276014745,13045820,171954,1949721,51220,38.07,0.15,0.0039,1993862,806569,447290,0.4243,0.334,0.2246,48.69,780426
2015/2/14,276189212,12810916,174467,2234750,55701,40.12,0.17,0.0043,2269380,780426,449119,0.4292,0.326,0.2264,49.85,837174
2015/2/15,276395208,13214317,205996,2304640,62143,37.09,0.17,0.0047,2379798,837174,481779,0.4371,0.3207,0.2231,51.59,820393
2015/2/16,276592662,13003639,197454,2334766,63675,36.67,0.18,0.0049,2423019,820393,461533,0.4157,0.3081,0.2237,50.16,745936
